Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1130,Ischaemic heart disease,CHE,2019,BTSX,YEARS50-54,681777,149.09,21.87,5935.21,870.55
1610,Self-harm,CHE,2019,BTSX,YEARS50-54,681777,135.03,19.81,5325.76,781.16
680,"Trachea, bronchus, lung cancers",CHE,2019,BTSX,YEARS50-54,681777,128.79,18.89,4973.34,729.47
700,Breast cancer,CHE,2019,BTSX,YEARS50-54,681777,77.25,11.33,3353.06,491.81
650,Colon and rectum cancers,CHE,2019,BTSX,YEARS50-54,681777,64.02,9.39,2603.37,381.85
1230,Cirrhosis of the liver,CHE,2019,BTSX,YEARS50-54,681777,58.4,8.57,2285.3,335.2
670,Pancreas cancer,CHE,2019,BTSX,YEARS50-54,681777,42.46,6.23,1631.59,239.31
1140,Stroke,CHE,2019,BTSX,YEARS50-54,681777,41.44,6.08,2407.08,353.06
751,Brain and nervous system cancers,CHE,2019,BTSX,YEARS50-54,681777,37.61,5.52,1477.79,216.76
660,Liver cancer,CHE,2019,BTSX,YEARS50-54,681777,28.96,4.25,1117.51,163.91
640,Stomach cancer,CHE,2019,BTSX,YEARS50-54,681777,27.04,3.97,1048.36,153.77
1550,Falls,CHE,2019,BTSX,YEARS50-54,681777,26.76,3.93,6589.59,966.53
1180,Chronic obstructive pulmonary disease,CHE,2019,BTSX,YEARS50-54,681777,25.77,3.78,2260.67,331.58
860,Alcohol use disorders,CHE,2019,BTSX,YEARS50-54,681777,24.05,3.53,3057.64,448.48
760,"Lymphomas, multiple myeloma",CHE,2019,BTSX,YEARS50-54,681777,23.77,3.49,978.92,143.58
620,Mouth and oropharynx cancers,CHE,2019,BTSX,YEARS50-54,681777,22.31,3.27,912.49,133.84
730,Ovary cancer,CHE,2019,BTSX,YEARS50-54,681777,18.26,2.68,728.03,106.78
690,Melanoma and other skin cancers,CHE,2019,BTSX,YEARS50-54,681777,18.04,2.65,798.77,117.16
1400,Congenital anomalies,CHE,2019,BTSX,YEARS50-54,681777,17.89,2.62,1030.88,151.2
1530,Road injury,CHE,2019,BTSX,YEARS50-54,681777,16.81,2.47,1586.6,232.72
630,Oesophagus cancer,CHE,2019,BTSX,YEARS50-54,681777,16.05,2.35,624.91,91.66
980,Multiple sclerosis,CHE,2019,BTSX,YEARS50-54,681777,14.94,2.19,933.77,136.96
1150,"Cardiomyopathy, myocarditis, endocarditis",CHE,2019,BTSX,YEARS50-54,681777,14.92,2.19,599.37,87.91
800,Diabetes mellitus,CHE,2019,BTSX,YEARS50-54,681777,14.86,2.18,4917.15,721.23
870,Drug use disorders,CHE,2019,BTSX,YEARS50-54,681777,14.14,2.07,1416.98,207.84
390,Lower respiratory infections,CHE,2019,BTSX,YEARS50-54,681777,12.52,1.84,489.69,71.83
745,Kidney cancer,CHE,2019,BTSX,YEARS50-54,681777,12.21,1.79,497.04,72.9
770,Leukaemia,CHE,2019,BTSX,YEARS50-54,681777,12.08,1.77,515.51,75.61
750,Bladder cancer,CHE,2019,BTSX,YEARS50-54,681777,11.48,1.68,481.39,70.61
740,Prostate cancer,CHE,2019,BTSX,YEARS50-54,681777,7.27,1.07,391.45,57.42
710,Cervix uteri cancer,CHE,2019,BTSX,YEARS50-54,681777,7.19,1.05,293.78,43.09
1270,Kidney diseases,CHE,2019,BTSX,YEARS50-54,681777,7.02,1.03,754.97,110.74
970,Epilepsy,CHE,2019,BTSX,YEARS50-54,681777,6.92,1.01,659.69,96.76
1120,Hypertensive heart disease,CHE,2019,BTSX,YEARS50-54,681777,5.85,0.86,242.58,35.58
950,Alzheimer disease and other dementias,CHE,2019,BTSX,YEARS50-54,681777,5.84,0.86,498,73.04
752,Gallbladder and biliary tract cancer,CHE,2019,BTSX,YEARS50-54,681777,5.55,0.81,213.91,31.38
850,Schizophrenia,CHE,2019,BTSX,YEARS50-54,681777,5.11,0.75,2646.84,388.23
100,HIV/AIDS,CHE,2019,BTSX,YEARS50-54,681777,4.86,0.71,446.13,65.44
200,Acute hepatitis C,CHE,2019,BTSX,YEARS50-54,681777,4.59,0.67,175.41,25.73
1570,Drowning,CHE,2019,BTSX,YEARS50-54,681777,4.58,0.67,182.85,26.82
1575,Exposure to mechanical forces,CHE,2019,BTSX,YEARS50-54,681777,4.59,0.67,1780.16,261.11
720,Corpus uteri cancer,CHE,2019,BTSX,YEARS50-54,681777,4.32,0.63,213.48,31.31
753,Larynx cancer,CHE,2019,BTSX,YEARS50-54,681777,4.04,0.59,170.01,24.94
755,Mesothelioma,CHE,2019,BTSX,YEARS50-54,681777,3.94,0.58,154.73,22.7
1620,Interpersonal violence,CHE,2019,BTSX,YEARS50-54,681777,3.73,0.55,431.74,63.33
754,Thyroid cancer,CHE,2019,BTSX,YEARS50-54,681777,2.93,0.43,145.1,21.28
1248,Pancreatitis,CHE,2019,BTSX,YEARS50-54,681777,2.56,0.38,126.82,18.6
110,Diarrhoeal diseases,CHE,2019,BTSX,YEARS50-54,681777,2.27,0.33,242.14,35.52
1190,Asthma,CHE,2019,BTSX,YEARS50-54,681777,2.2,0.32,2023.15,296.75
1560,"Fire, heat and hot substances",CHE,2019,BTSX,YEARS50-54,681777,2.14,0.31,471.66,69.18
1242,Paralytic ileus and intestinal obstruction,CHE,2019,BTSX,YEARS50-54,681777,1.84,0.27,86.34,12.66
1540,Poisonings,CHE,2019,BTSX,YEARS50-54,681777,1.77,0.26,133.26,19.55
190,Acute hepatitis B,CHE,2019,BTSX,YEARS50-54,681777,1.53,0.22,61.62,9.04
1380,Back and neck pain,CHE,2019,BTSX,YEARS50-54,681777,1.48,0.22,10352.57,1518.47
400,Upper respiratory infections,CHE,2019,BTSX,YEARS50-54,681777,1.51,0.22,524.96,77
1220,Peptic ulcer disease,CHE,2019,BTSX,YEARS50-54,681777,1.46,0.21,81.96,12.02
1241,Gastritis and duodenitis,CHE,2019,BTSX,YEARS50-54,681777,1.08,0.16,237.99,34.91
1246,Gallbladder and biliary diseases,CHE,2019,BTSX,YEARS50-54,681777,1.11,0.16,456.62,66.97
1244,Inflammatory bowel disease,CHE,2019,BTSX,YEARS50-54,681777,0.74,0.11,275.05,40.34
840,Bipolar disorder,CHE,2019,BTSX,YEARS50-54,681777,0.75,0.11,1930.48,283.15
1110,Rheumatic heart disease,CHE,2019,BTSX,YEARS50-54,681777,0.72,0.11,43.4,6.37
920,Idiopathic intellectual disability,CHE,2019,BTSX,YEARS50-54,681777,0.74,0.11,201.83,29.6
170,Meningitis,CHE,2019,BTSX,YEARS50-54,681777,0.78,0.11,46.8,6.86
30,Tuberculosis,CHE,2019,BTSX,YEARS50-54,681777,0.74,0.11,36.44,5.34
742,Testicular cancer,CHE,2019,BTSX,YEARS50-54,681777,0.67,0.1,39.12,5.74
295,Echinococcosis,CHE,2019,BTSX,YEARS50-54,681777,0.47,0.07,17.96,2.63
1240,Appendicitis,CHE,2019,BTSX,YEARS50-54,681777,0.36,0.05,30.11,4.42
1330,Skin diseases,CHE,2019,BTSX,YEARS50-54,681777,0.36,0.05,1268.31,186.03
1350,Rheumatoid arthritis,CHE,2019,BTSX,YEARS50-54,681777,0.37,0.05,525.45,77.07
1360,Osteoarthritis,CHE,2019,BTSX,YEARS50-54,681777,0.36,0.05,3731.25,547.28
1580,Natural disasters,CHE,2019,BTSX,YEARS50-54,681777,0.3,0.04,18.12,2.66
812,Sickle cell disorders and trait,CHE,2019,BTSX,YEARS50-54,681777,0.24,0.04,14.32,2.1
1630,Collective violence and legal intervention,CHE,2019,BTSX,YEARS50-54,681777,0.07,0.01,4.37,0.64
300,Dengue,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
960,Parkinson disease,CHE,2019,BTSX,YEARS50-54,681777,0,0,80.91,11.87
990,Migraine,CHE,2019,BTSX,YEARS50-54,681777,0,0,3243.24,475.7
1000,Non-migraine headache,CHE,2019,BTSX,YEARS50-54,681777,0,0,734.99,107.81
1030,Glaucoma,CHE,2019,BTSX,YEARS50-54,681777,0,0,41.31,6.06
1040,Cataracts,CHE,2019,BTSX,YEARS50-54,681777,0,0,150.76,22.11
1050,Uncorrected refractive errors,CHE,2019,BTSX,YEARS50-54,681777,0,0,2161.93,317.1
1060,Macular degeneration,CHE,2019,BTSX,YEARS50-54,681777,0,0,39.64,5.81
1070,Other vision loss,CHE,2019,BTSX,YEARS50-54,681777,0,0,195.38,28.66
1080,Other hearing loss,CHE,2019,BTSX,YEARS50-54,681777,0,0,1773.72,260.16
830,Depressive disorders,CHE,2019,BTSX,YEARS50-54,681777,0,0,6645.2,974.69
811,Thalassaemias,CHE,2019,BTSX,YEARS50-54,681777,0.01,0,14.67,2.15
880,Anxiety disorders,CHE,2019,BTSX,YEARS50-54,681777,0,0,4773.41,700.14
890,Eating disorders,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
900,Autism and Asperger syndrome,CHE,2019,BTSX,YEARS50-54,681777,0,0,513.72,75.35
910,Childhood behavioural disorders,CHE,2019,BTSX,YEARS50-54,681777,0,0,41.77,6.13
180,Encephalitis,CHE,2019,BTSX,YEARS50-54,681777,0,0,16.47,2.42
186,Acute hepatitis A,CHE,2019,BTSX,YEARS50-54,681777,0.01,0,14.41,2.11
1470,Oral conditions,CHE,2019,BTSX,YEARS50-54,681777,0,0,3005.46,440.83
1505,Sudden infant death syndrome,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
1370,Gout,CHE,2019,BTSX,YEARS50-54,681777,0,0,265.22,38.9
1280,Benign prostatic hyperplasia,CHE,2019,BTSX,YEARS50-54,681777,0,0,240.26,35.24
1290,Urolithiasis,CHE,2019,BTSX,YEARS50-54,681777,0,0,69.58,10.21
1310,Infertility,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
1320,Gynecological diseases,CHE,2019,BTSX,YEARS50-54,681777,0,0,5342.57,783.62
285,Cysticercosis,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
310,Trachoma,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
315,Yellow fever,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
320,Rabies,CHE,2019,BTSX,YEARS50-54,681777,0.01,0,0.51,0.07
340,Ascariasis,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
350,Trichuriasis,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
360,Hookworm disease,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
362,Food-bourne trematodes,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
365,Leprosy,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
410,Otitis media,CHE,2019,BTSX,YEARS50-54,681777,0,0,120.94,17.74
420,Maternal conditions,CHE,2019,BTSX,YEARS50-54,681777,0,0,0.14,0.02
490,Neonatal conditions,CHE,2019,BTSX,YEARS50-54,681777,0,0,1003,147.12
550,Protein-energy malnutrition,CHE,2019,BTSX,YEARS50-54,681777,0,0,428.86,62.9
560,Iodine deficiency,CHE,2019,BTSX,YEARS50-54,681777,0,0,56.15,8.24
570,Vitamin A deficiency,CHE,2019,BTSX,YEARS50-54,681777,0,0,0,0
580,Iron-deficiency anaemia,CHE,2019,BTSX,YEARS50-54,681777,0,0,245.95,36.07
50,Syphilis,CHE,2019,BTSX,YEARS50-54,681777,0,0,3.17,0.46
60,Chlamydia,CHE,2019,BTSX,YEARS50-54,681777,0,0,2.54,0.37
