Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1130,Ischaemic heart disease,CHE,2010,BTSX,YEARS55-59,480608,276.87,57.61,9536.45,1984.25
680,"Trachea, bronchus, lung cancers",CHE,2010,BTSX,YEARS55-59,480608,274.26,57.07,9251.78,1925.02
1230,Cirrhosis of the liver,CHE,2010,BTSX,YEARS55-59,480608,105.53,21.96,3579.89,744.87
650,Colon and rectum cancers,CHE,2010,BTSX,YEARS55-59,480608,104.21,21.68,3691.33,768.05
1610,Self-harm,CHE,2010,BTSX,YEARS55-59,480608,103.72,21.58,3641.71,757.73
700,Breast cancer,CHE,2010,BTSX,YEARS55-59,480608,101.69,21.16,3818.1,794.43
670,Pancreas cancer,CHE,2010,BTSX,YEARS55-59,480608,90.61,18.85,3040.6,632.66
620,Mouth and oropharynx cancers,CHE,2010,BTSX,YEARS55-59,480608,66.86,13.91,2310.78,480.8
1140,Stroke,CHE,2010,BTSX,YEARS55-59,480608,58.57,12.19,2765.64,575.45
1180,Chronic obstructive pulmonary disease,CHE,2010,BTSX,YEARS55-59,480608,49.45,10.29,3094.13,643.79
751,Brain and nervous system cancers,CHE,2010,BTSX,YEARS55-59,480608,49.31,10.26,1685.85,350.77
760,"Lymphomas, multiple myeloma",CHE,2010,BTSX,YEARS55-59,480608,46.11,9.59,1630.45,339.25
660,Liver cancer,CHE,2010,BTSX,YEARS55-59,480608,45.07,9.38,1519.94,316.25
730,Ovary cancer,CHE,2010,BTSX,YEARS55-59,480608,37.04,7.71,1269.99,264.25
640,Stomach cancer,CHE,2010,BTSX,YEARS55-59,480608,30.15,6.27,1029.02,214.11
750,Bladder cancer,CHE,2010,BTSX,YEARS55-59,480608,30.05,6.25,1065.01,221.6
800,Diabetes mellitus,CHE,2010,BTSX,YEARS55-59,480608,27.17,5.65,4732.09,984.6
1550,Falls,CHE,2010,BTSX,YEARS55-59,480608,26.87,5.59,5586.7,1162.42
630,Oesophagus cancer,CHE,2010,BTSX,YEARS55-59,480608,25.93,5.4,883.53,183.84
860,Alcohol use disorders,CHE,2010,BTSX,YEARS55-59,480608,24.06,5.01,2421.15,503.77
690,Melanoma and other skin cancers,CHE,2010,BTSX,YEARS55-59,480608,23.58,4.91,881.56,183.43
740,Prostate cancer,CHE,2010,BTSX,YEARS55-59,480608,21.65,4.5,999.49,207.96
1530,Road injury,CHE,2010,BTSX,YEARS55-59,480608,20.9,4.35,1640.74,341.39
770,Leukaemia,CHE,2010,BTSX,YEARS55-59,480608,19.35,4.03,705.77,146.85
745,Kidney cancer,CHE,2010,BTSX,YEARS55-59,480608,18.29,3.81,642.11,133.6
390,Lower respiratory infections,CHE,2010,BTSX,YEARS55-59,480608,17.82,3.71,604.44,125.77
980,Multiple sclerosis,CHE,2010,BTSX,YEARS55-59,480608,17.67,3.68,840.29,174.84
950,Alzheimer disease and other dementias,CHE,2010,BTSX,YEARS55-59,480608,16.7,3.47,902.33,187.75
1150,"Cardiomyopathy, myocarditis, endocarditis",CHE,2010,BTSX,YEARS55-59,480608,14.69,3.06,519.72,108.14
1270,Kidney diseases,CHE,2010,BTSX,YEARS55-59,480608,14.24,2.96,879.61,183.02
720,Corpus uteri cancer,CHE,2010,BTSX,YEARS55-59,480608,11.46,2.38,442.4,92.05
753,Larynx cancer,CHE,2010,BTSX,YEARS55-59,480608,9.72,2.02,349.4,72.7
752,Gallbladder and biliary tract cancer,CHE,2010,BTSX,YEARS55-59,480608,9.53,1.98,322.21,67.04
1400,Congenital anomalies,CHE,2010,BTSX,YEARS55-59,480608,9.39,1.95,529.76,110.23
870,Drug use disorders,CHE,2010,BTSX,YEARS55-59,480608,9.15,1.9,707.45,147.2
755,Mesothelioma,CHE,2010,BTSX,YEARS55-59,480608,8.61,1.79,296.18,61.63
850,Schizophrenia,CHE,2010,BTSX,YEARS55-59,480608,7.29,1.52,1791.61,372.78
710,Cervix uteri cancer,CHE,2010,BTSX,YEARS55-59,480608,6.55,1.36,237.28,49.37
